"@user Interesting choice of words... Are you confirming that governments fund terrorism? Bit of an open door, but still...",0
My visit to hospital for care triggered trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of depression,1
@user Welcome to MPSVT! We are delighted to have you! grateful MPSVT relationships,2
What makes you feel joyful?,2
i am revolting.,0
"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one.",0
In need of a change! restless,2
@user @user cmbyn does screen  August 4 &amp; 6 at miff,0
@user Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. horrid,0
@user how can u have sold so many copies but ur game has so many bugs and mad lag issues. Optimize ur code soon.,0
Pressured.,0
Yes depression &amp; anxiety are real but so is bein grateful &amp; happiness \nI choose how i wanna live MY life not some disorder,0
"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fing asked, I care",0
"@user The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us.",0
@user shocking loss of talented young manprayerspray for his family,1
Its amazing watching various news outlets showing mixed crowds of ppl watching Eclipse with NO racial tension.. MSM can't hide this!,2
"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. bipolar",0
@user @user Please. Don't insult Goths.,0
May or may not have just pulled the legal card on these folks. irritated,0